Longitude,Latitude,label,cluster_id,fold,mod_label
-61.033402,-17.404373,presence,21,4.0,1
-63.180714,-17.784324,presence,21,4.0,1
-63.498631,-17.500664,presence,21,4.0,1
-63.135642,-17.8269,presence,21,4.0,1
-63.394403,-17.357356,presence,21,4.0,1
-64.7167,-21.8833,presence,21,4.0,1
-61.507,-17.2378,presence,21,4.0,1
-62.025576,-16.131911,presence,21,4.0,1
-64.052625,-13.260581,presence,29,8.0,1
-64.3667,-22.65,presence,21,4.0,1
-66.1667,-17.38414,presence,21,4.0,1
-65.4204,-16.9743,presence,21,4.0,1
-64.730705,-21.530693,presence,21,4.0,1
-66.099998,-10.983333,presence,29,8.0,1
-67.599998,-15.733333,presence,21,4.0,1
-67.550003,-15.816667,presence,21,4.0,1
-67.5,-16.0,presence,21,4.0,1
-67.727135,-16.188892,presence,21,4.0,1
-67.5,-16.5,presence,21,4.0,1
-65.5,-16.5,presence,21,4.0,1
-65.366669,-16.916668,presence,21,4.0,1
-63.25,-17.333332,presence,21,4.0,1
-69.050003,-17.35,presence,21,4.0,1
-63.166668,-17.5,presence,21,4.0,1
-62.866669,-17.783333,presence,21,4.0,1
-63.816666,-17.966667,presence,21,4.0,1
-63.400002,-17.35,presence,21,4.0,1
-64.900002,-14.833333,presence,21,4.0,1
-66.0574,-11.011,presence,29,8.0,1
-68.137321,-16.497324,presence,21,4.0,1
-149.58,-17.68,presence,3,4.0,1
-149.828167,-17.538969,presence,3,4.0,1
-149.425449,-17.649911,presence,3,4.0,1
-139.558754,-8.901353,presence,3,4.0,1
-149.572692,-17.542243,presence,3,4.0,1
-140.1,-8.9,presence,3,4.0,1
-140.887313,-18.139,presence,3,4.0,1
-140.144463,-8.862005,presence,3,4.0,1
-151.441841,-16.803884,presence,3,4.0,1
-149.601202,-17.575303,presence,3,4.0,1
-139.028,-9.801,presence,3,4.0,1
-151.372,-16.84,presence,3,4.0,1
-149.804,-17.534,presence,3,4.0,1
-139.02317,-9.757107,presence,3,4.0,1
-147.666578,-23.866687,presence,3,4.0,1
-151.738071,-16.503908,presence,3,4.0,1
-134.978771,-23.126468,presence,3,4.0,1
-151.502266,-16.608558,presence,3,4.0,1
-146.355457,-16.151698,presence,3,4.0,1
-149.57,-17.535,presence,3,4.0,1
-149.512525,-17.533158,presence,3,4.0,1
-145.572889,-16.160025,presence,3,4.0,1
-138.648262,-10.490513,presence,3,4.0,1
-145.866022,-14.331087,presence,3,4.0,1
-152.25945,-16.443906,presence,3,4.0,1
-149.507818,-17.757842,presence,3,4.0,1
-149.350305,-17.749995,presence,3,4.0,1
-149.524469,-17.577921,presence,3,4.0,1
-149.60103,-17.629462,presence,3,4.0,1
-151.338787,-22.480837,presence,3,4.0,1
-140.079861,-9.404017,presence,3,4.0,1
-147.661257,-23.865902,presence,3,4.0,1
-134.973421,-23.110681,presence,3,4.0,1
-149.489994,-17.506885,presence,3,4.0,1
-169.918,-19.056,presence,45,2.0,1
-169.917912,-19.054979,presence,45,2.0,1
-157.337809,-20.161032,presence,3,4.0,1
-158.043903,-9.028624,presence,3,4.0,1
-159.76,-21.23,presence,3,4.0,1
-159.81103,-21.219059,presence,3,4.0,1
-159.74824,-21.212191,presence,3,4.0,1
-157.912676,-21.922459,presence,3,4.0,1
-159.774994,-21.234722,presence,3,4.0,1
-175.206385,-21.140068,presence,45,2.0,1
-170.697,-14.316,presence,45,2.0,1
-176.206684,-13.287063,presence,45,2.0,1
-178.142481,-14.285502,presence,45,2.0,1
